NAME,B01003_001E,B01002_001E,B19013_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,B03002_001E,B03002_003E,B03002_012E,B02001_002E,B02001_003E,state,county,FIPS
"Autauga County, Alabama",59285.0,39.2,69841.0,40767.0,6518.0,4006.0,599.0,407.0,27070.0,688.0,59285.0,42497.0,2188.0,43616.0,11829.0,01,001,01001
"Baldwin County, Alabama",239945.0,43.7,75019.0,171988.0,35348.0,14835.0,3843.0,2382.0,113171.0,3615.0,239945.0,195347.0,13393.0,198721.0,19144.0,01,003,01003
"Barbour County, Alabama",24757.0,40.7,44290.0,17628.0,1179.0,559.0,193.0,90.0,9074.0,518.0,24757.0,10807.0,1490.0,10891.0,11616.0,01,005,01005
"Bibb County, Alabama",22152.0,41.3,51215.0,15931.0,1121.0,537.0,92.0,77.0,9375.0,936.0,22152.0,16333.0,744.0,16634.0,4587.0,01,007,01007
"Blount County, Alabama",59292.0,40.9,61096.0,40991.0,4088.0,1843.0,287.0,168.0,27180.0,1586.0,59292.0,50374.0,5962.0,53062.0,747.0,01,009,01009
"Bullock County, Alabama",10157.0,40.4,36723.0,7378.0,493.0,117.0,54.0,0.0,3848.0,226.0,10157.0,2143.0,577.0,2327.0,7234.0,01,011,01011
"Butler County, Alabama",18807.0,42.2,44881.0,13164.0,1046.0,581.0,154.0,31.0,8026.0,545.0,18807.0,9531.0,300.0,9622.0,8411.0,01,013,01013
"Calhoun County, Alabama",116141.0,39.0,55826.0,78627.0,9842.0,4500.0,955.0,857.0,52221.0,3362.0,116141.0,81098.0,5150.0,82465.0,25515.0,01,015,01015
"Chambers County, Alabama",34450.0,41.5,49295.0,24484.0,2386.0,921.0,174.0,90.0,15297.0,759.0,34450.0,18575.0,1270.0,19089.0,13697.0,01,017,01017
"Cherokee County, Alabama",25224.0,47.4,50769.0,18777.0,1726.0,894.0,254.0,120.0,10758.0,370.0,25224.0,22884.0,437.0,23017.0,948.0,01,019,01019
"Chilton County, Alabama",45500.0,39.5,61873.0,30747.0,2858.0,1614.0,144.0,72.0,19943.0,1076.0,45500.0,35082.0,4489.0,36815.0,4175.0,01,021,01021
"Choctaw County, Alabama",12525.0,47.0,44483.0,8998.0,891.0,296.0,56.0,9.0,4816.0,265.0,12525.0,7084.0,136.0,7101.0,4782.0,01,023,01023
"Clarke County, Alabama",22802.0,42.5,49167.0,15966.0,1545.0,714.0,179.0,25.0,9256.0,1218.0,22802.0,11674.0,261.0,11749.0,10360.0,01,025,01025
"Clay County, Alabama",14188.0,43.8,51852.0,10259.0,1154.0,316.0,93.0,0.0,5657.0,197.0,14188.0,11256.0,451.0,11424.0,1840.0,01,027,01027
"Cleburne County, Alabama",15254.0,42.3,53319.0,10861.0,1201.0,647.0,103.0,27.0,6018.0,93.0,15254.0,14117.0,306.0,14158.0,598.0,01,029,01029
"Coffee County, Alabama",54231.0,38.8,64672.0,36904.0,4497.0,2525.0,557.0,366.0,22983.0,999.0,54231.0,36827.0,5096.0,38780.0,8991.0,01,031,01031
"Colbert County, Alabama",57648.0,42.3,56736.0,40978.0,5274.0,2120.0,522.0,391.0,26965.0,884.0,57648.0,44648.0,1890.0,44984.0,9103.0,01,033,01033
"Conecuh County, Alabama",11411.0,46.3,42266.0,8127.0,565.0,351.0,45.0,106.0,3822.0,316.0,11411.0,5713.0,101.0,5730.0,5221.0,01,035,01035
"Coosa County, Alabama",10323.0,50.3,57063.0,7935.0,815.0,244.0,89.0,32.0,4115.0,208.0,10323.0,6640.0,245.0,6664.0,3065.0,01,037,01037
"Covington County, Alabama",37647.0,42.8,50886.0,26459.0,2596.0,1441.0,392.0,116.0,15841.0,723.0,37647.0,31061.0,727.0,31325.0,4417.0,01,039,01039
"Crenshaw County, Alabama",13144.0,42.4,49040.0,9104.0,1046.0,411.0,58.0,15.0,5445.0,265.0,13144.0,9218.0,236.0,9280.0,3071.0,01,041,01041
"Cullman County, Alabama",89463.0,41.1,60916.0,62400.0,7754.0,3441.0,467.0,248.0,41633.0,1739.0,89463.0,80673.0,4346.0,81402.0,958.0,01,043,01043
"Dale County, Alabama",49516.0,38.0,53955.0,33832.0,4370.0,1726.0,257.0,186.0,19110.0,1299.0,49516.0,32948.0,3431.0,33971.0,10504.0,01,045,01045
